Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
5-May-1997,3795.20,3798.27,3755.09,3756.78,-,-,14.48,2.84,1.53,
6-May-1997,3760.11,3786.29,3739.09,3781.49,-,-,14.58,2.85,1.52,
7-May-1997,3785.83,3790.69,3751.93,3753.50,-,-,14.47,2.83,1.53,
9-May-1997,3758.83,3812.63,3758.83,3769.34,-,-,14.53,2.85,1.53,
12-May-1997,3772.28,3794.03,3732.15,3735.25,-,-,14.40,2.82,1.54,
13-May-1997,3734.69,3742.40,3692.00,3701.96,-,-,14.27,2.79,1.56,
14-May-1997,3702.36,3744.62,3652.20,3740.53,-,-,14.18,2.76,1.55,
15-May-1997,3737.96,3767.21,3713.48,3741.22,-,-,14.18,2.76,1.55,
16-May-1997,3742.10,3769.43,3738.71,3759.64,-,-,14.25,2.78,1.54,
19-May-1997,3768.97,3806.15,3768.92,3778.31,-,-,14.32,2.79,1.54,
20-May-1997,3780.54,3788.92,3755.21,3768.30,-,-,14.29,2.78,1.54,
21-May-1997,3766.03,3766.03,3731.85,3735.01,-,-,14.16,2.76,1.56,
22-May-1997,3738.06,3742.53,3714.20,3730.78,-,-,14.14,2.76,1.56,
23-May-1997,3729.51,3742.35,3697.70,3706.37,-,-,14.05,2.74,1.57,
26-May-1997,3707.51,3726.17,3693.45,3701.65,-,-,14.03,2.74,1.57,
27-May-1997,3702.15,3716.79,3681.72,3692.55,-,-,14.00,2.73,1.57,
28-May-1997,3704.94,3718.24,3670.51,3685.31,-,-,13.97,2.72,1.58,
29-May-1997,3684.77,3724.11,3659.39,3724.11,-,-,14.12,2.75,1.56,
30-May-1997,3724.52,3764.21,3714.76,3755.10,-,-,14.24,2.77,1.55,
2-June-1997,3758.39,3810.92,3747.14,3808.18,-,-,14.49,2.83,1.52,
3-June-1997,3810.63,3864.41,3810.63,3838.85,-,-,14.59,2.84,1.51,
4-June-1997,3840.99,3888.73,3840.99,3861.42,-,-,14.67,2.86,1.50,
5-June-1997,3863.38,3901.45,3852.30,3873.85,-,-,14.72,2.87,1.50,
6-June-1997,3875.13,3878.99,3830.98,3836.44,-,-,14.58,2.84,1.51,
9-June-1997,3837.05,3853.91,3815.73,3835.35,-,-,14.57,2.84,1.51,
10-June-1997,3835.57,3866.17,3834.14,3860.97,-,-,14.67,2.86,1.50,
11-June-1997,3864.92,3937.58,3864.92,3927.71,-,-,14.92,2.91,1.48,
12-June-1997,3927.49,3984.55,3927.49,3982.95,-,-,15.13,2.95,1.45,
13-June-1997,3983.22,4065.00,3980.85,4029.99,-,-,15.31,2.98,1.44,
16-June-1997,4043.20,4076.56,4006.80,4025.41,-,-,15.30,2.98,1.44,
17-June-1997,4027.61,4087.93,4021.00,4087.64,-,-,15.53,3.03,1.42,
18-June-1997,4095.84,4148.86,4081.26,4082.50,-,-,15.51,3.02,1.42,
19-June-1997,4077.81,4102.09,4046.49,4088.98,-,-,15.54,3.03,1.42,
